GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
USP6NL,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",10p14,10,11678309,rs7920721-G,rs7920721,7920721,3.00E-08
USP6NL,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",10p14,10,11678309,rs7920721-G,rs7920721,7920721,3.00E-06
BZRAP1,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",17q22,17,58331728,rs2632516-?,rs2632516,2632516,4.00E-08
BZRAP1-AS1,28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.,Alzheimer's disease,"13,100 European ancestry cases, 13,220 European ancestry controls, 1,472 African American cases, 3,511 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls","5,813 European ancestry cases, 20,474 European ancestry controls",17q22,17,58331728,rs2632516-?,rs2632516,2632516,4.00E-08
SOX14,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",3q22.3,3,137931894,rs16847609-A,rs16847609,16847609,5.00E-07
CLDN18,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",3q22.3,3,137931894,rs16847609-A,rs16847609,16847609,5.00E-07
PGBD3P4,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",4p13,4,43849075,rs13146780-C,rs13146780,13146780,3.00E-06
KCTD8,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",4p13,4,43849075,rs13146780-C,rs13146780,13146780,3.00E-06
IL21,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",4q27,4,122647254,rs78538083-C,rs78538083,78538083,8.00E-06
CETN4P,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",4q27,4,122647254,rs78538083-C,rs78538083,78538083,8.00E-06
SERINC5,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",5q14.1,5,80285949,rs71636213-G,rs71636213,71636213,9.00E-06
KRT18P45,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",5q14.1,5,80285949,rs71636213-G,rs71636213,71636213,9.00E-06
NPVF,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",7p15.2,7,25528235,rs10807828-C,rs10807828,10807828,7.00E-06
UBA52P1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",7p15.2,7,25528235,rs10807828-C,rs10807828,10807828,7.00E-06
TAS2R62P,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",7q35,7,143412115,rs75045569-T,rs75045569,75045569,8.00E-06
MKI67,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",10q26.2,10,128547890,rs61310603-T,rs61310603,61310603,8.00E-06
MGMT,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",10q26.2,10,128547890,rs61310603-T,rs61310603,61310603,8.00E-06
MS4,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,11q12.1,11,60071148,rs474951-T,rs474951,474951,1.00E-06
MS4,21627779,"The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.",Alzheimer's disease,"319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls","4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls",11q12.2,11,60255614,rs1562990-?,rs1562990,1562990,4.00E-11
MS4,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",11q12.2,11,60254475,rs1582763-G,rs1582763,1582763,2.00E-09
MS4,21460840,"Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.",Alzheimer's disease,"6,688 European ancestry cases, 13,685 European ancestry controls","13,182 European ancestry cases, 26,161 European ancestry controls",11q12.2,11,60171834,rs610932-?,rs610932,610932,2.00E-14
MS4,21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.",Alzheimer's disease (late onset),"8,309 European ancestry cases, 7,366 European ancestry controls","10,523 European ancestry cases, 28,231 European ancestry controls",11q12.2,11,60266956,rs4938933-?,rs4938933,4938933,8.00E-12
MS4,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",11q12.2,11,60173126,rs7232-?,rs7232,7232,6.00E-07
MS4,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",11q12.2,11,60156035,rs983392-A,rs983392,983392,6.00E-16
MS4A6E,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",11q12.2,11,60254475,rs1582763-G,rs1582763,1582763,2.00E-09
GAPDHP15,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",6p11.2,6,58045670,rs1936246-T,rs1936246,1936246,2.00E-13
RBBP4P4,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",6p11.2,6,58045670,rs1936246-T,rs1936246,1936246,2.00E-13
PMS2CL,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",7p22.1,7,6732029,rs116139393-C,rs116139393,7787147,3.00E-08
ZNF12,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",7p22.1,7,6732029,rs116139393-C,rs116139393,7787147,3.00E-08
THSD7A,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",7p21.3,7,12148903,rs1595014-T,rs1595014,1595014,4.00E-06
TMEM106B,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease (APOE e4 interaction),"10,352 APOE e4+ cases, 9,207 APOE e4+ controls, 7,184 APOE e4- cases, 26,968 APOE e4- controls","1,250 APOE e4+ European ancestry cases, 536 APOE e4+ European ancestry controls, 718 APOE e4- European ancestry cases, 1,699 APOE e4- European ancestry controls",7p21.3,7,12148903,rs1595014-T,rs1595014,1595014,4.00E-06
KANSL1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",17q21.31,17,46275856,rs2732703-T,rs2732703,2732703,6.00E-09
LRRC27A,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",17q21.31,17,46275856,rs2732703-T,rs2732703,2732703,6.00E-09
C17orf28,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",17q25.1,17,74979653,rs71380849-A,rs71380849,71380849,9.00E-07
CDR2L,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",17q25.1,17,74979653,rs71380849-A,rs71380849,71380849,9.00E-07
MACROD2,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",20p12.1,20,16216865,rs6110969-T,rs6110969,6110969,3.00E-06
PPIAP17,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",20p12.1,20,16216865,rs6110969-T,rs6110969,6110969,3.00E-06
DAPL1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",2q24.1,2,158844068,rs1125355-A,rs1125355,1125355,4.00E-06
OR7E89P,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",2q24.1,2,158844068,rs1125355-A,rs1125355,1125355,4.00E-06
CPS1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",2q34,2,211107743,rs178585-C,rs178585,178585,4.00E-06
RPS27P10,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",2q34,2,211107743,rs178585-C,rs178585,178585,4.00E-06
MGC45800,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",4q34.3,4,181180536,rs10018288-G,rs10018288,10018288,4.00E-06
OFCC1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",6p24.3,6,10101984,rs2876189-G,rs2876189,2876189,6.00E-06
RPL7AP36,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",6p24.3,6,10101984,rs2876189-G,rs2876189,2876189,6.00E-06
RPL3P8,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",7q31.1,7,110142514,rs59406683-A,rs59406683,59406683,6.00E-06
IMMP2L,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",7q31.1,7,110142514,rs59406683-A,rs59406683,59406683,6.00E-06
